width,algo,runtime,augment
10,FF,0.00117790000513196,243
10,FF_scaling,0.0008525000012014061,87
10,FF,0.0013218999956734478,309
10,FF_scaling,0.0008096999954432249,210
10,FF,0.0004400000034365803,116
10,FF_scaling,0.0005774000019300729,72
10,FF,0.00032900000223889947,114
10,FF_scaling,0.00027570000384002924,69
10,FF,0.00120310002239421,344
10,FF_scaling,0.0011245000059716403,214
10,FF,0.00028199999360367656,87
10,FF_scaling,0.0005073999927844852,91
10,FF,0.00021529998048208654,110
10,FF_scaling,0.00021349999587982893,75
10,FF,0.0003436999977566302,155
10,FF_scaling,0.00032079999800771475,87
10,FF,0.0004050999996252358,143
10,FF_scaling,0.0002570000069681555,72
10,FF,0.002829000004567206,642
10,FF_scaling,0.001596399990376085,444
20,FF,0.014190999994752929,2054
20,FF_scaling,0.008995599986519665,1300
20,FF,0.003728599986061454,571
20,FF_scaling,0.0031380000000353903,353
20,FF,0.001438500010408461,295
20,FF_scaling,0.0018146999937016517,155
20,FF,0.011764299997594208,1679
20,FF_scaling,0.006465200014645234,1003
20,FF,0.0033748999994713813,526
20,FF_scaling,0.003467100003035739,339
20,FF,0.009724100003950298,1374
20,FF_scaling,0.0024733000027481467,238
20,FF,0.010680100007448345,1398
20,FF_scaling,0.007813799980795011,1299
20,FF,0.007886100007453933,1167
20,FF_scaling,0.0017019000079017133,446
20,FF,0.0051426000136416405,718
20,FF_scaling,0.0018715999904088676,193
20,FF,0.0013124000106472522,242
20,FF_scaling,0.001977200008695945,155
40,FF,0.05665230000158772,4203
40,FF_scaling,0.015362300007836893,809
40,FF,0.02546889998484403,2533
40,FF_scaling,0.0028226000140421093,365
40,FF,0.02848979999544099,2539
40,FF_scaling,0.0038831999991089106,454
40,FF,0.03822530002798885,2768
40,FF_scaling,0.008211400010623038,357
40,FF,0.10439960000803694,4757
40,FF_scaling,0.009552399977110326,772
40,FF,0.08018410002114251,5666
40,FF_scaling,0.010865300020668656,405
40,FF,0.11048469998058863,4991
40,FF_scaling,0.012361600005533546,618
40,FF,0.05371420001029037,3265
40,FF_scaling,0.015259699983289465,927
40,FF,0.08107290000771172,5073
40,FF_scaling,0.00889100000495091,370
40,FF,0.028537499980302528,2004
40,FF_scaling,0.007601699995575473,908
80,FF,0.39103550001163967,10882
80,FF_scaling,0.05159409999032505,1066
80,FF,0.5501623999734875,16070
80,FF_scaling,0.050758900004439056,994
80,FF,0.36946590000297874,9147
80,FF_scaling,0.046545199991669506,721
80,FF,0.24060940000345,7087
80,FF_scaling,0.01579370000399649,802
80,FF,0.46884590000263415,11453
80,FF_scaling,0.052946100011467934,970
80,FF,0.4766632000100799,14562
80,FF_scaling,0.019255599996540695,792
80,FF,0.5455862999951933,10732
80,FF_scaling,0.043899000011151657,822
80,FF,0.3607569000159856,12043
80,FF_scaling,0.04588539997348562,959
80,FF,0.19330869999248534,5817
80,FF_scaling,0.017475999979069456,881
80,FF,0.15478040001471527,5092
80,FF_scaling,0.01724730001296848,833
120,FF,0.8156444999913219,10285
120,FF_scaling,0.12020140001550317,1326
120,FF,1.6116663999855518,25168
120,FF_scaling,0.04234740001265891,1648
120,FF,0.9787605000019539,15544
120,FF_scaling,0.04536280001047999,1675
120,FF,1.0013782999885734,17717
120,FF_scaling,0.16278020001482219,1599
120,FF,0.6170328999869525,12141
120,FF_scaling,0.05389650000142865,1658
120,FF,1.355205500003649,22120
120,FF_scaling,0.1553923999890685,1471
120,FF,1.9065356999926735,33886
120,FF_scaling,0.04887969998526387,1658
120,FF,0.40520889998879284,9740
120,FF_scaling,0.04073629999766126,1177
120,FF,0.23200400001951493,6428
120,FF_scaling,0.03571579998242669,1425
120,FF,0.9562855999975,15693
120,FF_scaling,0.14037810001173057,1565
